file_key,one_shot_solved,one_shot_time_mean,cadical_solved,cadical_time,pattern,method,paper_name,parallel_solved,parallel_time,winner,online_solved,online_time_mean,old_compact_solved,old_compact_time_mean,local_correction_solved,local_correction_time_mean
3sat_167.cnf,True,13.264121690368654,True,9.51387830125168,1111,one_shot,One-shot,True,9.51387830125168,cadical,,,,,,
3sat_168.cnf,False,60.31672169036866,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_169.cnf,False,60.33065502370198,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_17.cnf,False,60.32328835703533,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_170.cnf,False,60.299179863103234,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_171.cnf,False,60.29537986310323,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_172.cnf,False,60.29677986310323,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_173.cnf,False,60.27267986310324,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_174.cnf,False,60.2905465297699,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_175.cnf,False,60.29181319643656,True,18.44206083472818,0000,one_shot,One-shot,True,18.44206083472818,cadical,,,,,,
3sat_176.cnf,True,1.811706529769897,True,6.5517137493006885,1111,one_shot,One-shot,True,1.811706529769897,one_shot,,,,,,
3sat_177.cnf,False,60.28701319643657,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_178.cnf,False,60.291679863103234,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_179.cnf,False,60.291546529769896,True,6.8405946479178965,0000,one_shot,One-shot,True,6.8405946479178965,cadical,,,,,,
3sat_18.cnf,False,60.28021124839783,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_180.cnf,True,17.005244581731162,True,48.25100433407352,1111,one_shot,One-shot,True,17.005244581731162,one_shot,,,,,,
3sat_181.cnf,True,2.1833245817311604,True,18.15594138391316,1111,one_shot,One-shot,True,2.1833245817311604,one_shot,,,,,,
3sat_182.cnf,False,60.275211248397824,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_183.cnf,False,60.283677915064494,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_184.cnf,False,60.28591124839783,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_185.cnf,False,60.28714458173116,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_186.cnf,False,60.28624458173116,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_187.cnf,False,60.289277915064496,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_188.cnf,False,60.2807779150645,False,60.0,0011,one_shot,One-shot,False,60.0,none,,,,,,
