file_key,one_shot_solved_seeds,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_seeds,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_seeds,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_seeds,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_across_seeds_all_methods,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean
3sat_124.cnf,3,True,0.3394604826863607,0.04159114632854159,SATISFIABLE,3,True,0.3969976879475911,0.023264227908775283,SATISFIABLE,3,True,0.4342897927398681,0.032484620120551935,SATISFIABLE,3,True,0.41244608103942876,0.014863907983367402,SATISFIABLE,1111,p1111,True,0.037292104792277014,0.015448393091837653,-0.02184371170043936
3sat_125.cnf,3,True,3.4685107801310218,0.04062625393943947,SATISFIABLE,3,True,3.524796702331543,0.02001908420679893,SATISFIABLE,3,True,3.5836226125793456,0.10824750441356279,SATISFIABLE,3,True,3.592960065002442,0.0749841147833,SATISFIABLE,1111,p1111,True,0.05882591024780259,0.06816336267089884,0.009337452423096249
3sat_126.cnf,0,False,60.29700744679769,0.024749549022299856,INDETERMINATE,0,False,60.39812270233154,0.005844311002669441,INDETERMINATE,0,False,60.378955612579354,0.02260763963189692,INDETERMINATE,0,False,60.39043939833578,0.03442749766213852,INDETERMINATE,0000,p0000,True,-0.019167089752187394,-0.007683303995762003,0.011483785756425391
3sat_127.cnf,0,False,60.30690744679769,0.02137102158810486,INDETERMINATE,0,False,60.38603770233154,0.008185818435217653,INDETERMINATE,0,False,60.39043227924602,0.022269085703743346,INDETERMINATE,0,False,60.38464439833577,0.03087618644648996,INDETERMINATE,0000,p0000,True,0.004394576914478421,-0.0013933039957692017,-0.0057878809102476225
3sat_128.cnf,3,True,34.91937411346435,0.1895550717528531,SATISFIABLE,3,True,8.55309936899821,0.13738199456435712,SATISFIABLE,3,True,8.65705094591268,0.0584454064998296,SATISFIABLE,3,True,8.684183731669108,0.017939632315919045,SATISFIABLE,1111,p1111,True,0.10395157691447032,0.13108436267089907,0.027132785756428746
3sat_129.cnf,3,True,1.1236087801310222,0.01641526079478503,SATISFIABLE,3,True,1.2127713689982096,0.005117510928913148,SATISFIABLE,3,True,1.2165036125793458,0.03383616738864328,SATISFIABLE,3,True,1.2142197316691081,0.03247768551268773,SATISFIABLE,1111,p1111,True,0.0037322435811362187,0.0014483626708985398,-0.002283880910237679
3sat_13.cnf,0,False,60.31410744679769,0.026046762805567152,INDETERMINATE,0,False,60.39630003566487,0.008366725732110374,INDETERMINATE,0,False,60.38924927924601,0.03060314680376242,INDETERMINATE,0,False,60.384322398335776,0.017724395135727346,INDETERMINATE,0000,p0000,True,-0.007050756418863102,-0.01197763732909607,-0.004926880910232967
3sat_130.cnf,3,True,4.830630780131021,0.13174518593095821,SATISFIABLE,3,True,4.83760636899821,0.0636321710905783,SATISFIABLE,3,True,4.876885612579346,0.11337428156943484,SATISFIABLE,3,True,4.9628693983357755,0.17319301413420365,SATISFIABLE,1111,p1111,True,0.039279243581136214,0.1252630293375656,0.0859837857564294
3sat_131.cnf,3,True,3.679090780131022,0.02287740860841616,SATISFIABLE,3,True,3.6520753689982093,0.012062268500865843,SATISFIABLE,3,True,3.7379602792460123,0.06549306178129206,SATISFIABLE,3,True,3.7195673983357747,0.08469123444817309,SATISFIABLE,1111,p1111,True,0.08588491024780298,0.06749202933756537,-0.018392880910237608
3sat_132.cnf,3,True,0.4205734467976887,0.028192286464709972,SATISFIABLE,3,True,0.4599003689982096,0.014887829666660073,SATISFIABLE,3,True,0.47015127924601235,0.024726890825359005,SATISFIABLE,3,True,0.47117073166910806,0.027106050196378947,SATISFIABLE,1111,p1111,True,0.01025091024780278,0.011270362670898482,0.0010194524230957014
3sat_133.cnf,0,False,60.30394078013102,0.024642478003771333,INDETERMINATE,0,False,60.39900970233155,0.005102121386827521,INDETERMINATE,0,False,60.39742361257935,0.018172546880550543,INDETERMINATE,0,False,60.40795439833577,0.019006439662478693,INDETERMINATE,0000,p0000,True,-0.0015860897521946526,0.008944696004220987,0.01053078575641564
3sat_134.cnf,0,False,60.298044548924764,0.020230848556218563,INDETERMINATE,0,False,60.384169630523694,0.011237231388981013,INDETERMINATE,0,False,60.37687598004151,0.009490404885098306,INDETERMINATE,0,False,60.39642854092407,0.01881923815149108,INDETERMINATE,0000,p0000,True,-0.0072936504821825565,0.012258910400376521,0.019552560882559078
3sat_135.cnf,0,False,60.2906778822581,0.02982360303606466,INDETERMINATE,0,False,60.39300663052368,0.005238895308435735,INDETERMINATE,0,False,60.38278964670817,0.011159154502475281,INDETERMINATE,0,False,60.390920874257404,0.030938258649126246,INDETERMINATE,0000,p0000,True,-0.010216983815510616,-0.002085756266275496,0.00813122754923512
3sat_136.cnf,0,False,60.28654454892476,0.02149999592336947,INDETERMINATE,0,False,60.389162297190346,0.012219307541078868,INDETERMINATE,0,False,60.38313364670817,0.016239144147814827,INDETERMINATE,0,False,60.38873920759074,0.01705268639966421,INDETERMINATE,0000,p0000,True,-0.006028650482178932,-0.0004230895996073514,0.005605560882571581
3sat_137.cnf,0,False,60.29344454892476,0.023407719564777288,INDETERMINATE,0,False,60.386003963857014,0.006998373348665961,INDETERMINATE,0,False,60.38181631337485,0.0016484469310556094,INDETERMINATE,0,False,60.38904887425739,0.033419721258939314,INDETERMINATE,0000,p0000,True,-0.00418765048216585,0.003044910400376466,0.007232560882542316
3sat_138.cnf,0,False,60.3032778822581,0.01902421730701473,INDETERMINATE,0,False,60.383169630523675,0.007265530376906271,INDETERMINATE,0,False,60.390394313374834,0.015127826344442848,INDETERMINATE,0,False,60.38606687425741,0.029590866308257403,INDETERMINATE,0000,p0000,True,0.007224682851159514,0.002897243733734456,-0.004327439117425058
3sat_139.cnf,0,False,60.300177882258104,0.028191163618487204,INDETERMINATE,0,False,60.387019630523675,0.014103475445446101,INDETERMINATE,0,False,60.3835329800415,0.010502205218804902,INDETERMINATE,0,False,60.39680387425741,0.028185646709341015,INDETERMINATE,0000,p0000,True,-0.003486650482173559,0.009784243733733433,0.013270894215906992
3sat_14.cnf,3,True,5.5692245489247645,0.03445526029175353,SATISFIABLE,3,True,5.584629963857015,0.024606182417489412,SATISFIABLE,3,True,5.724080980041504,0.16868220531552017,SATISFIABLE,3,True,5.835136207590739,0.09898093712156025,SATISFIABLE,1111,p1111,True,0.13945101618448863,0.25050624373372354,0.11105522754923491
3sat_140.cnf,3,True,49.64791121559143,0.3937155796832773,SATISFIABLE,3,True,5.359984297190349,0.07061196133876685,SATISFIABLE,3,True,49.178798980041506,0.5880333840010922,SATISFIABLE,3,True,5.46549120759074,0.12149987760489152,SATISFIABLE,1111,p1111,True,43.818814682851155,0.10550691040039162,-43.71330777245077
3sat_141.cnf,3,True,3.2589745489247637,0.02172199948112885,SATISFIABLE,3,True,3.3374272971903487,0.046153017807938665,SATISFIABLE,3,True,3.377927980041504,0.04731484387521758,SATISFIABLE,3,True,3.4039882075907393,0.03867175836836484,SATISFIABLE,1111,p1111,True,0.04050068285115538,0.06656091040039058,0.026060227549235204
3sat_142.cnf,3,True,2.375231215591431,0.02718173238191945,SATISFIABLE,3,True,2.479585630523682,0.05775816616981744,SATISFIABLE,3,True,2.489755313374838,0.021226771233842586,SATISFIABLE,3,True,2.4986805409240724,0.048275082921933214,SATISFIABLE,1111,p1111,True,0.010169682851155937,0.019094910400390575,0.008925227549234638
