instance,file_key,group,method,repeat,result,time,cpu_time,timeout,conclusion_tag,raw_csv
3sat_89.cnf,3sat_89.cnf,recovered_timeout,online_consistent_boundary400,0,SATISFIABLE,0.4667706502532959,0.149564,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat0.csv
3sat_97.cnf,3sat_97.cnf,recovered_timeout,online_consistent_boundary400,0,SATISFIABLE,12.214867650253296,11.8879,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat0.csv
3sat_188.cnf,3sat_188.cnf,local_open_set,online_consistent_boundary400,0,SATISFIABLE,25.78519485305786,25.5217,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat0.csv
3sat_196.cnf,3sat_196.cnf,local_open_set,online_consistent_boundary400,0,SATISFIABLE,25.65721285305786,25.3885,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat0.csv
3sat_46.cnf,3sat_46.cnf,local_open_set,online_consistent_boundary400,0,SATISFIABLE,30.306504853057863,30.0408,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat0.csv
3sat_66.cnf,3sat_66.cnf,local_open_set,online_consistent_boundary400,0,INDETERMINATE,60.23695085305786,59.9743,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat0.csv
3sat_188.cnf,3sat_188.cnf,local_open_set,local_reopen_guarded,0,SATISFIABLE,24.957471844329834,24.7067,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat0.csv
3sat_196.cnf,3sat_196.cnf,local_open_set,local_reopen_guarded,0,SATISFIABLE,9.823856844329834,9.56881,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat0.csv
3sat_46.cnf,3sat_46.cnf,local_open_set,local_reopen_guarded,0,SATISFIABLE,0.432579844329834,0.184515,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat0.csv
3sat_66.cnf,3sat_66.cnf,local_open_set,local_reopen_guarded,0,INDETERMINATE,60.22540884432984,59.9627,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat0.csv
3sat_163.cnf,3sat_163.cnf,recovered_timeout,one_shot,1,INDETERMINATE,60.21886772651673,59.9802,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat1.csv
3sat_188.cnf,3sat_188.cnf,recovered_timeout,one_shot,1,INDETERMINATE,60.20836772651673,59.9697,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat1.csv
3sat_189.cnf,3sat_189.cnf,recovered_timeout,one_shot,1,INDETERMINATE,60.22336772651672,59.9847,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat1.csv
3sat_85.cnf,3sat_85.cnf,recovered_timeout,one_shot,1,INDETERMINATE,60.22506772651673,59.9864,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat1.csv
3sat_89.cnf,3sat_89.cnf,recovered_timeout,one_shot,1,INDETERMINATE,60.21826772651672,59.9796,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat1.csv
3sat_97.cnf,3sat_97.cnf,recovered_timeout,one_shot,1,INDETERMINATE,60.22386772651672,59.9852,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat1.csv
3sat_163.cnf,3sat_163.cnf,recovered_timeout,online_consistent_boundary400,1,SATISFIABLE,29.764831680801397,29.4398,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat1.csv
3sat_188.cnf,3sat_188.cnf,recovered_timeout,online_consistent_boundary400,1,INDETERMINATE,60.31085868080139,59.9884,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat1.csv
3sat_189.cnf,3sat_189.cnf,recovered_timeout,online_consistent_boundary400,1,SATISFIABLE,13.675764680801391,13.3555,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat1.csv
3sat_85.cnf,3sat_85.cnf,recovered_timeout,online_consistent_boundary400,1,SATISFIABLE,1.0221036808013917,0.699473,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat1.csv
3sat_89.cnf,3sat_89.cnf,recovered_timeout,online_consistent_boundary400,1,SATISFIABLE,0.4682036808013916,0.153916,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat1.csv
