checkpoint,checkpoint_order,warmup_conflicts,family,base_instance_id,rows,search_ok_frac,search_blowup_frac,adapter_cached_cpu_delta_mean,adapter_cached_cpu_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,adapter_plain_protocol_delta_mean,adapter_plain_protocol_improved_frac
iter=115,115.0,1,complete_coloring,k10_color9,9,0.3333333333333333,0.6666666666666666,-0.23327777777777792,-0.1399999999999996,13976.666666666666,14065.666666666666,-0.21203344871658786,0.6666666666666666
iter=115,115.0,1,complete_coloring,k8_color7,9,0.6666666666666666,0.3333333333333333,-0.011189777777777734,-0.011482,-190.33333333333334,-190.66666666666666,0.4423275568683279,0.0
iter=115,115.0,1,complete_coloring,k9_color8,9,1.0,0.0,-0.2217774444444444,-0.2180949999999999,-5948.333333333333,-5473.666666666667,0.2428016672458251,0.1111111111111111
iter=115,115.0,1,php,php_p10_h9,9,0.3333333333333333,0.6666666666666666,-0.14064,0.1318699999999992,18725.333333333332,18743.333333333332,-0.30351676416834855,0.6666666666666666
iter=115,115.0,1,php,php_p9_h8,9,1.0,0.0,-0.25137988888888885,-0.291927,-5948.333333333333,-5473.666666666667,0.09059358274228045,0.3333333333333333
iter=115,115.0,1,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,0.0,1.0,-0.0022764444444444334,-0.000852,723.0,512.6666666666666,1.0594279896501568,0.0
iter=115,115.0,1,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,0.0,1.0,0.5417011111111111,0.505706,35607.0,31316.0,1.3584894252139132,0.1111111111111111
iter=115,115.0,1,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,0.0,1.0,0.0067833333333333,0.0084619999999999,800.6666666666666,656.3333333333334,0.7616076666482223,0.2222222222222222
iter=115,115.0,1,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,0.0,1.0,0.1295603333333333,0.141092,13804.666666666666,12228.333333333334,0.407546170351651,0.0
iter=115,115.0,1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,0.3333333333333333,0.6666666666666666,0.6973734444444446,0.4992699999999999,34215.333333333336,30278.333333333332,-3.685719097884489,1.0
iter=115,115.0,1,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,0.0,1.0,0.22042555555555537,0.3011499999999998,36602.333333333336,26797.666666666668,0.9606516874774429,0.1111111111111111
iter=115,115.0,1,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,0.0,1.0,0.024485555555555507,0.0246599999999999,2227.6666666666665,1854.3333333333333,-0.7703232592681911,0.7777777777777778
iter=115,115.0,1,subset_cardinality,subset_cardinality_bw10,9,0.3333333333333333,0.6666666666666666,-0.00041088888888886674,-0.0002189999999999,4.333333333333333,4.333333333333333,0.4291857633724809,0.0
iter=115,115.0,1,subset_cardinality,subset_cardinality_bw12,9,0.0,1.0,-0.0006871111111110999,-0.0004149999999999,19.666666666666668,20.666666666666668,0.23578073543985015,0.0
iter=115,115.0,1,subset_cardinality,subset_cardinality_bw8,9,0.0,1.0,-6.355555555554444e-05,-0.000337,8.333333333333334,8.0,0.14038232965140207,0.0
iter=115,115.0,3,complete_coloring,k10_color9,9,0.0,1.0,-0.5216777777777777,-0.8640399999999997,52204.666666666664,51515.333333333336,0.1488257880724073,0.3333333333333333
iter=115,115.0,3,complete_coloring,k8_color7,9,1.0,0.0,-0.009141444444444412,-0.009235,-280.0,-227.33333333333334,0.4231019676627649,0.0
iter=115,115.0,3,complete_coloring,k9_color8,9,1.0,0.0,-0.3523363333333333,-0.37137,-3190.0,-2929.6666666666665,0.18781602832957103,0.1111111111111111
iter=115,115.0,3,php,php_p10_h9,9,0.0,1.0,-0.22257666666666653,-0.40754,60815.666666666664,59393.0,-0.09035874457106985,0.5555555555555556
iter=115,115.0,3,php,php_p9_h8,9,1.0,0.0,-0.23574822222222222,-0.23106,-3190.0,-2929.6666666666665,0.05044149482199881,0.2222222222222222
iter=115,115.0,3,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,0.0,1.0,0.0006644444444444333,-0.000987,635.0,453.0,0.21653951907118155,0.0
iter=115,115.0,3,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,0.0,1.0,0.4816505555555556,0.5785899999999999,30711.666666666668,26979.0,0.020839033567276247,0.6666666666666666
iter=115,115.0,3,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,0.0,1.0,0.002279888888888867,0.002197,277.6666666666667,226.0,-0.49939802937116234,0.6666666666666666
iter=115,115.0,3,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,0.0,1.0,0.2049502222222222,0.191739,13977.666666666666,12435.666666666666,0.5835479365817109,0.0
iter=115,115.0,3,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1.0,0.0,-0.7410805555555555,-0.8768710000000001,-21665.666666666668,-20000.666666666668,-4.82127954497152,1.0
iter=115,115.0,3,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,0.0,1.0,0.11937222222222221,0.1212300000000006,41815.0,31698.333333333332,1.058300061276204,0.3333333333333333
iter=115,115.0,3,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,0.0,1.0,0.03341844444444444,0.031576,2381.3333333333335,1965.3333333333333,-0.8665167699566815,0.6666666666666666
