family,method,rows,families,solved_instances,known_expected_instances,known_expected_match_instances,protocol_supported_instances,events_available_instances,mean_protocol_accounted_time,median_protocol_accounted_time,mean_protocol_wall_time,mean_final_cpu_time,median_final_cpu_time,mean_final_wall_time,mean_final_decisions,mean_final_conflicts,mean_static_inference_wall_time,mean_warmup_cpu_time,mean_warmup_wall_time,mean_event_attach_wall_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,mean_event_state_l2_sum
random_3sat_control,plain_unguided_glucose,63,1,63,0,0,63,0,2.1560155714285716,0.742464,2.1636249146882505,2.1560155714285716,0.742464,2.1636249146882505,73455.95238095238,63861.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,neutral_weighted_glucose,63,1,63,0,0,63,0,1.814885888888889,0.644387,1.8247433875406545,1.814885888888889,0.644387,1.8247433875406545,58671.09523809524,50970.09523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,static_weighted_glucose,63,1,63,0,0,63,0,1.3099734844435436,0.29884322830200194,1.3186032069876554,1.1232504603174605,0.050203,1.1318801828615723,43655.95238095238,39373.71428571428,0.18672302412608313,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,cached_trace_no_adapter_final,63,1,63,0,0,63,63,1.316333515223263,0.3046779204306602,1.331956205993063,1.1232504603174605,0.050203,1.1318801828615723,43655.95238095238,39373.71428571428,0.18672302412608313,0.005130857142857143,0.012123825368545359,0.00122917363686221,0.0,228.57142857142858,350.0224064418248
random_3sat_control,event_adapter_final,63,1,63,0,0,63,63,1.6084318362466286,0.884478918473959,1.6245546736828391,1.356845619047619,0.611384,1.3659754882581414,60432.23809523809,53381.04761904762,0.18672302412608313,0.005130857142857143,0.012123825368545359,0.00122917363686221,0.05850316229320708,228.57142857142858,350.0224064418248
subset_cardinality,plain_unguided_glucose,27,1,27,27,27,27,0,0.0011755555555555556,0.001202,0.002299198673831092,0.0011755555555555556,0.001202,0.002299198673831092,242.0,181.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subset_cardinality,neutral_weighted_glucose,27,1,27,27,27,27,0,0.0018539629629629629,0.001849,0.0036515959504025953,0.0018539629629629629,0.001849,0.0036515959504025953,263.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subset_cardinality,static_weighted_glucose,27,1,27,27,27,27,0,0.14518905714077418,0.09867015946960449,0.14702003556131213,0.0018026666666666666,0.00174,0.0036336450872045977,208.44444444444446,169.55555555555554,0.14338639047410753,0.0,0.0,0.0,0.0,0.0,0.0
subset_cardinality,cached_trace_no_adapter_final,27,1,27,27,27,27,27,0.1474917611282137,0.10170547211539745,0.15172279229456628,0.0018026666666666666,0.00174,0.0036336450872045977,208.44444444444446,169.55555555555554,0.14338639047410753,0.0012631851851851851,0.003663237930999862,0.0010395188022542883,0.0,41.0,63.58079952663846
subset_cardinality,event_adapter_final,27,1,27,27,27,27,27,0.1732179373920935,0.10564061559522152,0.177765561785135,0.0015704814814814815,0.001457,0.003718053128708292,213.11111111111111,176.0,0.14338639047410753,0.0012631851851851851,0.003663237930999862,0.0010395188022542883,0.02595836144906503,41.0,63.58079952663846
__overall__,plain_unguided_glucose,135,4,135,72,72,135,0,1.6781941777777778,0.619426,1.6845696646651185,1.6781941777777778,0.619426,1.6845696646651185,89306.82222222222,80573.24444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,neutral_weighted_glucose,135,4,135,72,72,135,0,1.5482264666666665,0.644387,1.5565815508158671,1.5482264666666665,0.644387,1.5565815508158671,73801.06666666667,66834.88888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,static_weighted_glucose,135,4,135,72,72,135,0,1.4367165545596652,0.5718091889343262,1.444138073148551,1.1802589555555556,0.051653,1.1876804741444411,65128.15555555555,59902.77777777778,0.2564575990041097,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,cached_trace_no_adapter_final,135,4,135,72,72,135,135,1.4421024944893652,0.5756576333232523,1.4546509723006575,1.1802589555555556,0.051653,1.1876804741444411,65128.15555555555,59902.77777777778,0.2564575990041097,0.0041995999999999995,0.009326559222406812,0.0011863399296998978,0.0,140.2,214.57329254150392
__overall__,event_adapter_final,135,4,135,72,72,135,135,1.546001367955122,0.7447705408973098,1.558352167069636,1.236583111111111,0.41546,1.2438069510032181,72748.48888888888,66396.62222222223,0.2564575990041097,0.0041995999999999995,0.009326559222406812,0.0011863399296998978,0.04757471791020146,140.2,214.57329254150392
