Unnamed: 0,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time,file_key,solved,method,batch
11,2.0,1607126.0,1829230.0,89845288.0,59.9882,INDETERMINATE,11,0,data/eval_batches/3sat/400/batch1/3sat_153.cnf,0.0062868595123291,0.081241,1.031110763549805,1.0373976230621338,61.10683862306213,3sat_153.cnf,False,pairwise_veto_actual,1
12,1.0,42118.0,49122.0,2596236.0,1.21605,SATISFIABLE,12,0,data/eval_batches/3sat/400/batch1/3sat_154.cnf,0.0062868595123291,0.088061,1.031110763549805,1.0373976230621338,2.3415086230621336,3sat_154.cnf,True,pairwise_veto_actual,1
13,2.0,1682896.0,1917450.0,93665689.0,59.9984,INDETERMINATE,13,0,data/eval_batches/3sat/400/batch1/3sat_155.cnf,0.0062868595123291,0.081035,1.031110763549805,1.0373976230621338,61.11683262306213,3sat_155.cnf,False,pairwise_veto_actual,1
14,2.0,1641320.0,1874256.0,92881102.0,59.9912,INDETERMINATE,14,0,data/eval_batches/3sat/400/batch1/3sat_156.cnf,0.0062868595123291,0.07764,1.031110763549805,1.0373976230621338,61.106237623062135,3sat_156.cnf,False,pairwise_veto_actual,1
15,1.0,75250.0,88905.0,4657000.0,2.50566,SATISFIABLE,15,0,data/eval_batches/3sat/400/batch1/3sat_157.cnf,0.0062868595123291,0.073295,1.031110763549805,1.0373976230621338,3.616352623062134,3sat_157.cnf,True,pairwise_veto_actual,1
16,2.0,1655002.0,1872993.0,91883171.0,59.9669,INDETERMINATE,16,0,data/eval_batches/3sat/400/batch1/3sat_158.cnf,0.0062868595123291,0.061716,1.031110763549805,1.0373976230621338,61.06601362306213,3sat_158.cnf,False,pairwise_veto_actual,1
17,2.0,1721929.0,1973796.0,98731974.0,59.9714,INDETERMINATE,17,0,data/eval_batches/3sat/400/batch1/3sat_159.cnf,0.0062868595123291,0.062786,1.031110763549805,1.0373976230621338,61.07158362306214,3sat_159.cnf,False,pairwise_veto_actual,1
18,2.0,1756390.0,1993672.0,100705726.0,59.9897,INDETERMINATE,18,0,data/eval_batches/3sat/400/batch1/3sat_16.cnf,0.0062868595123291,0.069445,1.031110763549805,1.0373976230621338,61.096542623062135,3sat_16.cnf,False,pairwise_veto_actual,1
19,2.0,1745842.0,1994610.0,96979430.0,59.9669,INDETERMINATE,19,0,data/eval_batches/3sat/400/batch1/3sat_160.cnf,0.0062868595123291,0.06523,1.031110763549805,1.0373976230621338,61.069527623062136,3sat_160.cnf,False,pairwise_veto_actual,1
20,2.0,1777647.0,2023604.0,102419876.0,59.9614,INDETERMINATE,20,0,data/eval_batches/3sat/400/batch1/3sat_161.cnf,0.0062150955200195,0.066316,1.012465238571167,1.0186803340911863,61.04639633409119,3sat_161.cnf,False,pairwise_veto_actual,1
21,2.0,1578553.0,1783179.0,88593019.0,59.9941,INDETERMINATE,21,0,data/eval_batches/3sat/400/batch1/3sat_162.cnf,0.0062150955200195,0.067893,1.012465238571167,1.0186803340911863,61.08067333409119,3sat_162.cnf,False,pairwise_veto_actual,1
22,2.0,915021.0,1050086.0,53803425.0,29.8661,SATISFIABLE,22,0,data/eval_batches/3sat/400/batch1/3sat_163.cnf,0.0062150955200195,0.065498,1.012465238571167,1.0186803340911863,30.950278334091188,3sat_163.cnf,True,pairwise_veto_actual,1
23,2.0,1670317.0,1914633.0,95799146.0,59.9911,INDETERMINATE,23,0,data/eval_batches/3sat/400/batch1/3sat_164.cnf,0.0062150955200195,0.078202,1.012465238571167,1.0186803340911863,61.08798233409119,3sat_164.cnf,False,pairwise_veto_actual,1
24,1.0,7043.0,8408.0,453223.0,0.133299,SATISFIABLE,24,0,data/eval_batches/3sat/400/batch1/3sat_165.cnf,0.0062150955200195,0.072302,1.012465238571167,1.0186803340911863,1.2242813340911864,3sat_165.cnf,True,pairwise_veto_actual,1
25,2.0,1726889.0,1971775.0,97187511.0,59.9877,INDETERMINATE,25,0,data/eval_batches/3sat/400/batch1/3sat_166.cnf,0.0062150955200195,0.066173,1.012465238571167,1.0186803340911863,61.07255333409118,3sat_166.cnf,False,pairwise_veto_actual,1
26,2.0,399529.0,460797.0,23951550.0,10.8521,SATISFIABLE,26,0,data/eval_batches/3sat/400/batch1/3sat_167.cnf,0.0062150955200195,0.068733,1.012465238571167,1.0186803340911863,11.939513334091188,3sat_167.cnf,True,pairwise_veto_actual,1
27,2.0,1579730.0,1786987.0,89976160.0,59.9816,INDETERMINATE,27,0,data/eval_batches/3sat/400/batch1/3sat_168.cnf,0.0062150955200195,0.075442,1.012465238571167,1.0186803340911863,61.07572233409119,3sat_168.cnf,False,pairwise_veto_actual,1
28,2.0,1640624.0,1883293.0,94331763.0,59.9841,INDETERMINATE,28,0,data/eval_batches/3sat/400/batch1/3sat_169.cnf,0.0062150955200195,0.08494,1.012465238571167,1.0186803340911863,61.08772033409119,3sat_169.cnf,False,pairwise_veto_actual,1
29,2.0,1558365.0,1782647.0,86982177.0,59.9762,INDETERMINATE,29,0,data/eval_batches/3sat/400/batch1/3sat_17.cnf,0.0062150955200195,0.073905,1.012465238571167,1.0186803340911863,61.06878533409119,3sat_17.cnf,False,pairwise_veto_actual,1
