warmup_conflicts,family,base_instance_id,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,1,3,3,10.0,5.0,9,0,0,0.005740111111111111,0.005038,1.0,397.0021057128906,260.0,1.0,0.7958277777777778,0.8149999999999995,0.8419881048414442,0.9225622222222221,0.9533300000000002,1.6161805504675442,1.3191860368319155,55015.333333333336,43529.666666666664,0.656751111111111,-0.5300166666666667,0.0,0.1111111111111111,0.0
1,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,1,3,3,10.0,5.0,9,0,0,0.006110333333333333,0.007072,1.0,465.98126220703125,300.0,1.0,0.03172688888888889,0.030961,0.05604351766289607,-1.1230562222222222,-1.237333,-0.5754527897060446,-0.6555768313511013,2524.0,2108.0,0.26922777777777784,-1.424010888888889,0.0,1.0,0.6666666666666666
1,subset_cardinality,subset_cardinality_bw10,9,1,3,3,10.0,5.0,9,9,9,0.000744,0.000529,1.0,62.71916198730469,41.0,1.0,0.0009277777777777778,0.0003449999999999998,0.025244406551784962,7.15555555555555e-05,-0.0001249999999999999,0.5420739553442597,0.6086572297492027,1.6666666666666667,1.3333333333333333,0.00011355555555555549,-0.0009697777777777777,0.3333333333333333,0.5555555555555556,0.0
1,subset_cardinality,subset_cardinality_bw12,9,1,3,3,10.0,5.0,9,9,9,0.0010084444444444446,0.001262,1.0,74.82396443684895,49.0,1.0,0.0009445555555555556,0.00014500000000000016,0.022836997199164488,0.0008923333333333333,0.0005300000000000001,0.2562706068347692,0.2139427292070388,26.333333333333332,25.0,0.000874,-0.0009262222222222222,0.4444444444444444,0.3333333333333333,0.0
1,subset_cardinality,subset_cardinality_bw8,9,1,3,3,10.0,5.0,9,9,9,0.0011137777777777778,0.001193,1.0,53.19927215576172,33.0,1.0,-2.0111111111111154e-05,1.8000000000000004e-05,0.020660236967298726,0.0005021111111111112,0.00030099999999999984,0.11258628533391818,0.0702235083395838,8.666666666666666,7.666666666666667,0.0005013333333333332,2.0888888888888938e-05,0.4444444444444444,0.1111111111111111,0.0
3,complete_coloring,k10_color9,9,1,3,3,10.0,5.0,9,9,9,0.009058777777777778,0.008489,3.0,194.41254679361978,90.0,1.0,0.40285444444444446,0.26713999999999993,0.4065798936886259,-0.02866333333333331,0.13372000000000028,0.08386452090736245,0.24671339359676914,91650.33333333333,87512.0,-0.29893222222222227,-0.1325855555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333
3,complete_coloring,k8_color7,9,1,3,3,10.0,5.0,9,9,9,0.004740111111111111,0.003684,3.0,125.21592203776042,56.0,1.0,-0.013958777777777777,-0.013495999999999998,-0.010233328533596452,-0.008364444444444445,-0.002445999999999997,0.09938327558783024,0.0968731178662777,-444.6666666666667,-375.0,0.004378111111111113,0.0012162222222222212,1.0,0.7777777777777778,0.0
3,complete_coloring,k9_color8,9,1,3,3,10.0,5.0,9,9,9,0.006296555555555555,0.006643,3.0,158.03121439615884,72.0,1.0,-0.14535177777777777,-0.169721,-0.14201275206841366,-0.10607755555555554,-0.12685599999999997,0.0032305212003389907,-0.0186476521037221,-3126.3333333333335,-2760.3333333333335,0.04756644444444444,-0.0082922222222222,1.0,1.0,0.5555555555555556
3,php,php_p10_h9,9,1,3,3,10.0,5.0,9,9,9,0.008606111111111111,0.008866,3.0,194.41254679361978,90.0,1.0,0.41661444444444445,0.22128999999999976,0.41918062308417425,0.006523333333333288,0.12185999999999986,0.11859159683446095,0.21829864543861133,91650.33333333333,87512.0,-0.3313900000000001,-0.07870111111111111,0.0,0.3333333333333333,0.3333333333333333
3,php,php_p9_h8,9,1,3,3,10.0,5.0,9,9,9,0.008373777777777779,0.009797,3.0,158.03121439615884,72.0,1.0,-0.13219055555555556,-0.152978,-0.1296243769158258,-0.10712633333333334,-0.12107899999999999,0.004696073927197163,-0.024174739827096503,-3126.3333333333335,-2760.3333333333335,0.03844444444444447,-0.013380222222222238,1.0,1.0,0.5555555555555556
3,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,1,3,3,10.0,5.0,9,0,0,0.004049111111111111,0.003355,3.0,362.77410888671875,160.0,1.0,0.008675111111111113,0.009494000000000002,0.01231740525309244,-0.010658666666666664,-0.011531999999999994,0.13052143641411593,0.12651545768386122,909.3333333333334,677.0,0.004700000000000002,-0.02403377777777778,0.1111111111111111,0.6666666666666666,0.0
3,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,1,3,3,10.0,5.0,9,0,0,0.005877777777777778,0.004856,3.0,430.87243652343756,180.0,1.0,0.15190122222222222,0.150588,0.1560815741153293,-0.3702843333333333,-0.23007,-0.2104460980699725,-0.07892315558809043,14689.0,12776.0,-0.4334601111111111,-0.08872544444444444,0.0,1.0,1.0
3,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,1,3,3,10.0,5.0,9,0,0,0.0045278888888888895,0.004674,3.0,456.0174051920573,220.0,1.0,0.004609777777777778,0.005404,0.008790129670884887,-0.5618533333333334,-0.553071,-0.4033085205607216,-0.3884404423238039,321.0,265.0,-0.3073035555555556,-0.25915955555555553,0.1111111111111111,1.0,0.6666666666666666
3,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,1,3,3,10.0,5.0,9,0,0,0.00639,0.004581,3.0,419.5413513183594,220.0,1.0,0.21165555555555557,0.21587300000000004,0.21549377678765191,0.019408000000000005,0.02364899999999992,0.21269373970105912,0.20737585050588847,15194.0,13649.0,0.08969422222222222,-0.28194177777777774,0.0,0.3333333333333333,0.0
3,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1,3,3,10.0,5.0,9,0,0,0.006078,0.004655,3.0,493.8140055338542,260.0,1.0,-0.4578416666666667,-0.41990399999999994,-0.4540034454345704,-4.0876951111111115,-4.566178,-3.8946728015925425,-4.3336398376261,-15828.0,-14791.333333333334,-2.475852888888889,-1.1540005555555557,1.0,1.0,1.0
3,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,1,3,3,10.0,5.0,9,0,0,0.005262333333333333,0.004175,3.0,480.1115214029948,260.0,1.0,0.613551111111111,0.6648399999999999,0.6170349363708496,0.8696055555555555,1.0613700000000001,1.033456779703008,1.2650342346669432,60044.333333333336,48025.0,0.6701288888888891,-0.4140744444444446,0.0,0.0,0.0
3,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,1,3,3,10.0,5.0,9,0,0,0.007214,0.00586,3.0,624.5980224609375,300.0,1.0,0.022971000000000002,0.020006,0.025746033315022822,-0.8920983333333334,-0.972488,-0.7829348932249283,-0.8625701820892692,2558.6666666666665,2114.0,0.28142566666666663,-1.1964949999999999,0.0,1.0,1.0
3,subset_cardinality,subset_cardinality_bw10,9,1,3,3,10.0,5.0,9,9,9,0.0015201111111111112,0.00118,3.0,93.68310292561848,41.0,1.0,-0.00023833333333333332,0.000736,0.002536699981689466,-0.0004936666666666667,-5.800000000000011e-05,0.10272304672024644,0.0923930646134615,18.666666666666668,3.0,0.0006898888888888889,-0.0009452222222222223,0.4444444444444444,0.5555555555555556,0.0
3,subset_cardinality,subset_cardinality_bw12,9,1,3,3,10.0,5.0,9,9,9,0.0017097777777777777,0.001471,3.0,103.64867909749348,49.0,1.0,-0.00035322222222222216,-0.00023099999999999987,0.0018792233886718787,0.0007402222222222224,0.0004680000000000001,0.06035679922534355,0.042193430321395296,26.666666666666668,12.666666666666666,0.0019995555555555556,-0.0009061111111111112,0.5555555555555556,0.2222222222222222,0.0
3,subset_cardinality,subset_cardinality_bw8,9,1,3,3,10.0,5.0,9,9,9,0.0012376666666666666,0.001107,3.0,78.4325180053711,33.0,1.0,0.0007300000000000002,0.0016130000000000003,0.0026911517588297327,-7.533333333333323e-05,9.600000000000017e-05,0.0371619975422885,0.0372843054053783,3.6666666666666665,0.3333333333333333,-8.111111111111103e-06,-0.0007972222222222222,0.4444444444444444,0.4444444444444444,0.0
