file_key,portfolio_solved_repeats,local_first_stage_solved_repeats,cadical_second_stage_solved_repeats,portfolio_only_vs_cadical_repeats,cadical_only_vs_portfolio_repeats,stable_portfolio_solved,stable_portfolio_only_vs_cadical,cadical_60s_solved,cadical_60s_time,local_correction_time_mean,portfolio_time_mean,portfolio_time_std,pattern
3sat_6.cnf,0,0,0,0,0,True,True,False,60.0,60.346742470031735,60.0,0.0,0000
3sat_60.cnf,3,0,3,0,0,True,True,True,26.81406234530732,60.35823280336508,27.019925863326836,0.16039162701358384,0000
3sat_61.cnf,0,0,0,0,0,True,True,False,60.0,60.357692470031736,60.0,0.0,0000
3sat_62.cnf,0,0,0,0,0,True,True,False,60.0,60.35263813669841,60.0,0.0,0000
3sat_63.cnf,3,3,0,0,0,True,True,True,40.523911610711366,5.619469840744018,4.12053237001722,0.03468196094410153,1111
3sat_64.cnf,0,0,0,0,0,True,True,False,60.0,60.38928684074401,60.0,0.0,0000
3sat_65.cnf,3,3,0,0,0,True,True,True,0.6187135926447809,0.3716988407440185,0.23814243854333952,0.015164985283074802,1111
3sat_66.cnf,0,0,0,0,0,True,True,False,60.0,60.38288717407736,60.0,0.0,0000
3sat_67.cnf,0,0,0,0,0,True,True,False,60.0,60.389301507410686,60.0,0.0,0000
3sat_68.cnf,0,0,0,0,0,True,True,False,60.0,60.389623840744015,60.0,0.0,0000
3sat_69.cnf,0,0,0,0,0,True,True,False,60.0,60.39742117407735,60.0,0.0,0000
3sat_7.cnf,0,0,0,0,0,True,True,False,60.0,60.38620917407735,60.0,0.0,0000
3sat_70.cnf,3,3,0,0,0,True,True,True,5.101964577101171,0.4599461740773519,0.3460241034626961,0.01693605166307812,1111
3sat_71.cnf,0,0,0,0,0,True,True,False,60.0,60.38862050741068,60.0,0.0,0000
3sat_72.cnf,0,0,0,0,0,True,True,False,60.0,60.35938661184184,60.0,0.0,0000
3sat_73.cnf,0,0,0,0,0,True,True,False,60.0,60.3612952785085,60.0,0.0,0000
3sat_74.cnf,3,0,3,0,0,True,True,True,44.43337680818513,60.36435994517517,38.49199684678266,0.38522788270389136,0000
3sat_75.cnf,0,0,0,0,0,True,True,False,60.0,60.350375945175166,60.0,0.0,0000
3sat_76.cnf,3,0,3,0,0,True,True,True,37.73084889911115,60.37007927850851,35.31298480105276,0.29932899622617937,0000
3sat_77.cnf,0,0,0,0,0,True,True,False,60.0,60.35644894517517,60.0,0.0,0000
3sat_78.cnf,0,0,0,0,0,True,True,False,60.0,60.36084294517517,60.0,0.0,0000
3sat_79.cnf,0,0,0,0,0,True,True,False,60.0,60.37148427850851,60.0,0.0,0000
3sat_8.cnf,0,0,0,0,0,True,True,False,60.0,60.35369694517518,60.0,0.0,0000
3sat_80.cnf,0,0,0,0,0,True,True,False,60.0,60.359793278508505,60.0,0.0,0000
3sat_81.cnf,0,0,0,0,0,True,True,False,60.0,60.3594474421285,60.0,0.0,0000
3sat_82.cnf,3,0,3,0,0,True,True,True,2.7282467340119183,25.8242394421285,7.195804901731511,0.02160872739958346,1111
3sat_83.cnf,0,0,0,0,0,True,True,False,60.0,60.36952977546184,60.0,0.0,0000
3sat_84.cnf,3,0,3,0,0,True,True,True,26.10006245179102,60.36300377546184,26.204948633909225,0.12027741817040165,0000
3sat_85.cnf,3,3,0,0,0,True,True,True,18.391694094985723,1.1849791087951662,0.944564888253808,0.010611826992646737,0111
3sat_86.cnf,3,3,0,0,0,True,True,True,0.5934880780987442,4.156111108795166,3.40230355799819,0.020308204370912044,1111
3sat_87.cnf,0,0,0,0,0,True,True,False,60.0,60.3664024421285,60.0,0.0,0000
3sat_88.cnf,3,3,0,0,0,True,True,True,5.834722600877285,0.6265794421284993,0.5008851923048496,0.014371728196197094,1111
3sat_89.cnf,3,3,0,0,0,True,True,True,6.691836128942668,0.564585108795166,0.45887310911590856,0.0033295885247038295,0111
3sat_9.cnf,0,0,0,0,0,True,True,False,60.0,60.374345442128494,60.0,0.0,0000
3sat_90.cnf,3,0,3,0,0,True,True,True,6.742499434854835,60.33837897110494,10.482143817469478,0.034828118384185536,0000
3sat_91.cnf,3,3,0,0,0,True,True,True,0.5907984399236739,0.3651546377716064,0.3198138489387929,0.005555311083581909,1111
3sat_92.cnf,3,3,0,0,0,True,True,True,0.6176080219447613,3.8977623044382734,3.012917046279957,0.010250094475651174,1111
3sat_93.cnf,3,0,3,0,0,True,True,True,6.680826576892287,23.38553063777161,10.381039987783879,0.03041495158893274,1111
3sat_94.cnf,3,3,0,0,0,True,True,True,5.028286013752222,2.117638637771606,1.6358781607511144,0.019377882209762352,1111
3sat_95.cnf,0,0,0,0,0,True,True,False,60.0,60.33921397110495,60.0,0.0,0000
3sat_96.cnf,3,3,0,0,0,True,True,True,4.859460365027189,0.4334266377716064,0.347147268243134,0.01688910839235292,1111
3sat_97.cnf,3,0,3,0,0,True,True,True,35.70879242103547,14.686119304438272,34.29241563146934,0.5088098784470372,0111
3sat_98.cnf,0,0,0,0,0,True,True,False,60.0,60.337084971104936,60.0,0.0,0000
3sat_99.cnf,0,0,0,0,0,True,True,False,60.0,60.34044997110494,60.0,0.0,0000
