cadical_result,cadical_solved,cadical_time,cadical_wall_time,file,file_key,local_actual_wall_time,local_cpu_time_reported,local_external_timeout,local_result,local_solved,local_stage,local_total_time_reported,local_wall_time,portfolio_solved,portfolio_time
UNKNOWN,False,55.0,55.00746650714427,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_136.cnf,3sat_136.cnf,5.036983609199524,4.729255158919841,True,TIMEOUT,False,final,4.871729934371501,5.0,False,60.0
UNKNOWN,False,55.0,55.00653286790475,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_137.cnf,3sat_137.cnf,5.036284755915403,4.733793586026877,True,TIMEOUT,False,final,4.865172149366111,5.0,False,60.0
SATISFIABLE,True,29.237642448861152,29.237642448861152,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_138.cnf,3sat_138.cnf,5.0366314691491425,4.7326984237879515,True,TIMEOUT,False,final,4.865864200109362,5.0,True,34.23764244886115
UNKNOWN,False,55.0,55.00682668760419,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_139.cnf,3sat_139.cnf,5.036622724961489,4.742741698864847,True,TIMEOUT,False,final,4.86717240574351,5.0,False,60.0
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_14.cnf,3sat_14.cnf,4.356638913042843,4.05992,False,SATISFIABLE,True,final,4.1897511854400635,4.356638913042843,True,4.356638913042843
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_140.cnf,3sat_140.cnf,4.198411134071648,3.85414,False,SATISFIABLE,True,final,4.028155661834717,4.198411134071648,True,4.198411134071648
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_141.cnf,3sat_141.cnf,2.575429853051901,2.25167,False,SATISFIABLE,True,final,2.3966069319610592,2.575429853051901,True,2.575429853051901
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_142.cnf,3sat_142.cnf,1.9309362559579313,1.6189,False,SATISFIABLE,True,final,1.7628322084503174,1.9309362559579313,True,1.9309362559579313
UNKNOWN,False,55.0,55.0067671360448,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_143.cnf,3sat_143.cnf,5.03702157875523,4.733956245239824,True,TIMEOUT,False,final,4.875821321182817,5.0,False,60.0
UNKNOWN,False,55.0,55.004965043161064,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_144.cnf,3sat_144.cnf,5.037756030913442,4.729911197908223,True,TIMEOUT,False,final,4.8713346195085645,5.0,False,60.0
UNKNOWN,False,55.0,55.006705885753036,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_145.cnf,3sat_145.cnf,5.03680481063202,4.737459808122367,True,TIMEOUT,False,final,4.872000401033134,5.0,False,60.0
UNKNOWN,False,55.0,55.00742452125996,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_146.cnf,3sat_146.cnf,5.037037116941065,4.733335972763598,True,TIMEOUT,False,final,4.877377594849169,5.0,False,60.0
UNKNOWN,False,55.0,55.00687557132915,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_147.cnf,3sat_147.cnf,5.0361823588609695,4.733973891939968,True,TIMEOUT,False,final,4.868187544314235,5.0,False,60.0
SATISFIABLE,True,21.79150035465136,21.79150035465136,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_148.cnf,3sat_148.cnf,5.0357108800671995,4.73560302099213,True,TIMEOUT,False,final,4.872483070491642,5.0,True,26.79150035465136
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_149.cnf,3sat_149.cnf,3.237030736170709,2.92216,False,SATISFIABLE,True,final,3.06684612701416,3.237030736170709,True,3.237030736170709
UNKNOWN,False,55.0,55.00695474119857,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_15.cnf,3sat_15.cnf,5.036266203969717,4.733882094733417,True,TIMEOUT,False,final,4.875230666632831,5.0,False,60.0
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_150.cnf,3sat_150.cnf,0.6030070651322603,0.296473,False,SATISFIABLE,True,final,0.435924832901001,0.6030070651322603,True,0.6030070651322603
UNKNOWN,False,55.0,55.0059007150121,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_151.cnf,3sat_151.cnf,5.037084956187755,4.724560355767608,True,TIMEOUT,False,final,4.869420141473174,5.0,False,60.0
UNKNOWN,False,55.0,55.007239112164825,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_152.cnf,3sat_152.cnf,5.0364288398995996,4.7327491929754615,True,TIMEOUT,False,final,4.863587710950315,5.0,False,60.0
UNKNOWN,False,55.0,55.00692451372743,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_153.cnf,3sat_153.cnf,5.036073784343898,4.723650685977191,True,TIMEOUT,False,final,4.878143637149066,5.0,False,60.0
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_154.cnf,3sat_154.cnf,0.4775093970820308,0.158698,False,SATISFIABLE,True,final,0.31761836044311526,0.4775093970820308,True,0.4775093970820308
UNKNOWN,False,55.0,55.00742109492421,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_155.cnf,3sat_155.cnf,5.0364588890224695,4.737274358049035,True,TIMEOUT,False,final,4.873326069078088,5.0,False,60.0
UNKNOWN,False,55.0,55.00652514724061,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_156.cnf,3sat_156.cnf,5.036452079191804,4.743535605724901,True,TIMEOUT,False,final,4.8759348163267076,5.0,False,60.0
SATISFIABLE,True,5.123968869913369,5.123968869913369,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_157.cnf,3sat_157.cnf,5.037096236366779,4.740013324655592,True,TIMEOUT,False,final,4.8777857567692395,5.0,True,10.12396886991337
UNKNOWN,False,55.0,55.0077416440472,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_158.cnf,3sat_158.cnf,5.036401369143277,4.7394138290546834,True,TIMEOUT,False,final,4.867722029097408,5.0,False,60.0
UNKNOWN,False,55.0,55.00519160320982,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_159.cnf,3sat_159.cnf,5.036244981922209,4.734436534810811,True,TIMEOUT,False,final,4.877122593267233,5.0,False,60.0
UNKNOWN,False,55.0,55.007183705922216,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_16.cnf,3sat_16.cnf,5.037447264418006,4.735520196612924,True,TIMEOUT,False,final,4.876098494372934,5.0,False,60.0
UNKNOWN,False,55.0,55.005740822292864,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_160.cnf,3sat_160.cnf,5.0363840707577765,4.7315344652161,True,TIMEOUT,False,final,4.871102007574499,5.0,False,60.0
SATISFIABLE,True,29.867281176149845,29.867281176149845,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_161.cnf,3sat_161.cnf,5.035609834827483,4.734227288980037,True,TIMEOUT,False,final,4.871310685967952,5.0,True,34.867281176149845
UNKNOWN,False,55.0,55.007770324125886,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_162.cnf,3sat_162.cnf,5.036575253121555,4.723142310976982,True,TIMEOUT,False,final,4.869391246874809,5.0,False,60.0
SATISFIABLE,True,14.676423552911729,14.676423552911729,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_163.cnf,3sat_163.cnf,5.037482914049178,4.712740188930184,True,TIMEOUT,False,final,4.865888293971688,5.0,True,19.67642355291173
SATISFIABLE,True,22.08004180761054,22.08004180761054,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_164.cnf,3sat_164.cnf,5.0371972429566085,4.721133119892329,True,TIMEOUT,False,final,4.853690375660151,5.0,True,27.08004180761054
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_165.cnf,3sat_165.cnf,0.34188853204250336,0.025337,False,SATISFIABLE,True,final,0.17233896591186523,0.34188853204250336,True,0.34188853204250336
UNKNOWN,False,55.0,55.00659945840016,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_166.cnf,3sat_166.cnf,5.035694347694516,4.717633666004986,True,TIMEOUT,False,final,4.867502401890606,5.0,False,60.0
SATISFIABLE,True,7.664868122898042,7.664868122898042,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_167.cnf,3sat_167.cnf,5.036423705052584,4.708164494950324,True,TIMEOUT,False,final,4.862185260178596,5.0,True,12.664868122898042
UNKNOWN,False,55.0,55.00707407435402,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_168.cnf,3sat_168.cnf,5.0375258550047874,4.710831773001701,True,TIMEOUT,False,final,4.861320859046012,5.0,False,60.0
UNKNOWN,False,55.0,55.00726413400844,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_169.cnf,3sat_169.cnf,5.036857680883259,4.712279299274087,True,TIMEOUT,False,final,4.869516475635171,5.0,False,60.0
UNKNOWN,False,55.0,55.006315141916275,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_17.cnf,3sat_17.cnf,5.035201646853238,4.712432960048318,True,TIMEOUT,False,final,4.873861006801247,5.0,False,60.0
UNKNOWN,False,55.0,55.007439341861755,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_170.cnf,3sat_170.cnf,5.035513789393008,4.710555136669427,True,TIMEOUT,False,final,4.857982989635736,5.0,False,60.0
UNKNOWN,False,55.0,55.007346097845584,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_171.cnf,3sat_171.cnf,5.035819723736495,4.707340816035867,True,TIMEOUT,False,final,4.85872092675364,5.0,False,60.0
UNKNOWN,False,55.0,55.00599186588079,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_172.cnf,3sat_172.cnf,5.034818444866687,4.710151729173958,True,TIMEOUT,False,final,4.86695073860389,5.0,False,60.0
UNKNOWN,False,55.0,55.0065540028736,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_173.cnf,3sat_173.cnf,5.036431561224163,4.560298757161945,True,TIMEOUT,False,final,4.7120215709284246,5.0,False,60.0
UNKNOWN,False,55.0,55.006370312999934,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_174.cnf,3sat_174.cnf,5.035942486021668,4.7016660743393,True,TIMEOUT,False,final,4.857627812132269,5.0,False,60.0
SATISFIABLE,True,14.999273345805705,14.999273345805705,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_175.cnf,3sat_175.cnf,5.03976086108014,4.719464648049325,True,TIMEOUT,False,final,4.8658291429071125,5.0,True,19.999273345805705
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_176.cnf,3sat_176.cnf,1.4481540801934898,1.14105,False,SATISFIABLE,True,final,1.2759447257385252,1.4481540801934898,True,1.4481540801934898
UNKNOWN,False,55.0,55.00643440382555,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_177.cnf,3sat_177.cnf,5.035741855856031,4.731923419050872,True,TIMEOUT,False,final,4.878932844877899,5.0,False,60.0
UNKNOWN,False,55.0,55.00629892991856,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_178.cnf,3sat_178.cnf,5.037003750912845,4.753832563757896,True,TIMEOUT,False,final,4.878429365515709,5.0,False,60.0
SATISFIABLE,True,5.48609383078292,5.48609383078292,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_179.cnf,3sat_179.cnf,5.037133743986487,4.751701975241303,True,TIMEOUT,False,final,4.874328809668183,5.0,True,10.48609383078292
UNKNOWN,False,55.0,55.0060710888356,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_18.cnf,3sat_18.cnf,5.035649734083563,4.748665329068899,True,TIMEOUT,False,final,4.869369121305227,5.0,False,60.0
SATISFIABLE,True,37.2452201503329,37.2452201503329,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_180.cnf,3sat_180.cnf,5.035961398854852,4.745374002959579,True,TIMEOUT,False,final,4.867036753936142,5.0,True,42.2452201503329
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_181.cnf,3sat_181.cnf,1.7319257729686797,1.45239,False,SATISFIABLE,True,final,1.5728711834106446,1.7319257729686797,True,1.7319257729686797
UNKNOWN,False,55.0,55.006924212910235,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_182.cnf,3sat_182.cnf,5.036850961856544,4.755667818244547,True,TIMEOUT,False,final,4.877514659659952,5.0,False,60.0
UNKNOWN,False,55.0,55.00666746823117,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_183.cnf,3sat_183.cnf,5.034893000964075,4.757350084837526,True,TIMEOUT,False,final,4.879601059401125,5.0,False,60.0
UNKNOWN,False,55.0,55.00467634899542,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_184.cnf,3sat_184.cnf,5.0368159590289,4.721581168938428,True,TIMEOUT,False,final,4.8732439912193115,5.0,False,60.0
UNKNOWN,False,55.0,55.007651367690414,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_185.cnf,3sat_185.cnf,5.037439598701894,4.731370382010937,True,TIMEOUT,False,final,4.865125516334057,5.0,False,60.0
UNKNOWN,False,55.0,55.00729956710711,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_186.cnf,3sat_186.cnf,5.035087331663817,4.7416417631320655,True,TIMEOUT,False,final,4.867003126535386,5.0,False,60.0
UNKNOWN,False,55.0,55.006745325401425,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_187.cnf,3sat_187.cnf,5.035863815806806,4.740791819989681,True,TIMEOUT,False,final,4.876280175549984,5.0,False,60.0
UNKNOWN,False,55.0,55.006830882281065,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_188.cnf,3sat_188.cnf,5.0371355707757175,4.74010963505134,True,TIMEOUT,False,final,4.876247496303171,5.0,False,60.0
SATISFIABLE,True,14.542501611169428,14.542501611169428,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_189.cnf,3sat_189.cnf,5.037616622168571,4.740594324655831,True,TIMEOUT,False,final,4.870074668527901,5.0,True,19.542501611169428
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_19.cnf,3sat_19.cnf,1.1405756468884647,0.826842,False,SATISFIABLE,True,final,0.9661975538482666,1.1405756468884647,True,1.1405756468884647
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_190.cnf,3sat_190.cnf,0.2923109931871295,0.017653,False,SATISFIABLE,True,final,0.14471333584594726,0.2923109931871295,True,0.2923109931871295
SATISFIABLE,True,5.295317423995584,5.295317423995584,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_191.cnf,3sat_191.cnf,5.036831106059253,4.729912067763507,True,TIMEOUT,False,final,4.878458045790851,5.0,True,10.295317423995584
