file_key,one_shot_solved_seeds,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_seeds,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_seeds,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_seeds,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_across_seeds_all_methods,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean,cadical_result,cadical_solved,cadical_time,cadical_wall_time,external_timeout_x,returncode_x,file,local_stage1_solved,Result,stage2_solved,stage2_time,wall_time,external_timeout_y,returncode_y,stage2_run,portfolio_solved,portfolio_time,mode,first_cap,second_cap,portfolio_only_vs_cadical,cadical_only_vs_portfolio
3sat_116.cnf,0,False,60.30708381601969,0.0410277399859624,INDETERMINATE,0,False,60.391369354614255,0.0217944715538294,INDETERMINATE,0,False,60.415727459406526,0.0193744808788742,INDETERMINATE,0,False,60.407644747706094,0.0186387732921931,INDETERMINATE,0000,p0000,True,0.0243581047922702,0.0162753930918384,-0.0080827117004318,UNKNOWN,False,60.0,60.00856850296259,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_116.cnf,False,UNKNOWN,False,55.0,55.006112159229815,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_117.cnf,0,False,60.31235048268636,0.0442085018830672,INDETERMINATE,0,False,60.3829466879476,0.0395208849376325,INDETERMINATE,0,False,60.42069479273987,0.044747252668453,INDETERMINATE,0,False,60.4007837477061,0.0082795208977556,INDETERMINATE,0000,p0000,True,0.0377481047922785,0.0178370597585058,-0.0199110450337727,UNKNOWN,False,60.0,60.00768801104277,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_117.cnf,False,UNKNOWN,False,55.0,55.006911299191415,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_118.cnf,0,False,60.295383816019694,0.0325466798158654,INDETERMINATE,0,False,60.3805326879476,0.0168270068904972,INDETERMINATE,0,False,60.40633479273987,0.0508158467729753,INDETERMINATE,0,False,60.407033747706095,0.0207150469444954,INDETERMINATE,0000,p0000,True,0.0258021047922696,0.0265010597584947,0.000698954966225,UNKNOWN,False,60.0,60.00786575116217,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_118.cnf,False,UNKNOWN,False,55.0,55.00677473796532,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_119.cnf,0,False,60.31735048268637,0.0369510036285987,INDETERMINATE,0,False,60.39233335461426,0.0259464299793417,INDETERMINATE,0,False,60.43150045940654,0.045351981861906,INDETERMINATE,0,False,60.41252074770609,0.016693124150771,INDETERMINATE,0000,p0000,True,0.0391671047922841,0.020187393091831,-0.018979711700453,UNKNOWN,False,60.0,60.004992759320885,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_119.cnf,False,UNKNOWN,False,55.0,55.00678757485002,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_12.cnf,0,False,60.30581714935303,0.0344213597654952,INDETERMINATE,0,False,60.38650835461426,0.0265818043824074,INDETERMINATE,0,False,60.438800459406536,0.0392326651251918,INDETERMINATE,0,False,60.39626041437276,0.0149968069106104,INDETERMINATE,0000,p0000,True,0.0522921047922793,0.0097520597585045,-0.0425400450337747,UNKNOWN,False,60.0,60.0072307898663,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_12.cnf,False,UNKNOWN,False,55.0,55.00763538386673,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_120.cnf,3,True,3.354207149353027,0.1048787657489223,SATISFIABLE,3,True,1.0769530212809244,0.0135775379941009,SATISFIABLE,3,True,1.1219761260732015,0.0425975566651953,SATISFIABLE,3,True,1.114239414372762,0.0141369447703369,SATISFIABLE,1111,p1111,True,0.0450231047922771,0.0372863930918376,-0.0077367117004394,SATISFIABLE,True,2.764279928058386,2.764279928058386,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_120.cnf,True,,False,55.0,,,,False,True,1.114239414372762,full,5.0,55.0,False,False
3sat_121.cnf,3,True,1.7281071493530271,0.0358669733140866,SATISFIABLE,3,True,1.8167563546142576,0.0351901812718943,SATISFIABLE,3,True,1.8318191260732013,0.0415248107179041,SATISFIABLE,3,True,1.8379404143727625,0.0162295643034995,SATISFIABLE,1111,p1111,True,0.0150627714589439,0.0211840597585044,0.0061212882995604,SATISFIABLE,True,5.005294237285852,5.005294237285852,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_121.cnf,True,,False,55.0,,,,False,True,1.8379404143727625,full,5.0,55.0,False,False
3sat_122.cnf,0,False,60.304950482686365,0.0430547563295226,INDETERMINATE,0,False,60.383530021280926,0.0290641182041978,INDETERMINATE,0,False,60.4058511260732,0.0467693282119307,INDETERMINATE,0,False,60.397408747706095,0.0053863772978255,INDETERMINATE,0000,p0000,True,0.022321104792276,0.0138787264251689,-0.008442378367107,SATISFIABLE,True,6.797467355150729,6.797467355150729,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_122.cnf,False,SATISFIABLE,True,5.385515262838453,5.385515262838453,False,10.0,True,True,10.385515262838453,full,5.0,55.0,False,False
3sat_123.cnf,0,False,60.3068838160197,0.036227346481473,INDETERMINATE,0,False,60.38971168794759,0.03428043632817,INDETERMINATE,0,False,60.4341771260732,0.0429266152469456,INDETERMINATE,0,False,60.402067414372766,0.0142376486552062,INDETERMINATE,0000,p0000,True,0.0444654381256128,0.0123557264251772,-0.0321097117004356,SATISFIABLE,True,1.4617841257713735,1.4617841257713735,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_123.cnf,False,SATISFIABLE,True,1.1438645869493484,1.1438645869493484,False,10.0,True,True,6.1438645869493484,full,5.0,55.0,False,False
3sat_124.cnf,3,True,0.3394604826863607,0.0415911463285415,SATISFIABLE,3,True,0.3969976879475911,0.0232642279087752,SATISFIABLE,3,True,0.4342897927398681,0.0324846201205519,SATISFIABLE,3,True,0.4124460810394287,0.0148639079833674,SATISFIABLE,1111,p1111,True,0.037292104792277,0.0154483930918376,-0.0218437117004393,SATISFIABLE,True,0.607330528087914,0.607330528087914,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_124.cnf,True,,False,55.0,,,,False,True,0.4124460810394287,full,5.0,55.0,False,False
