solver_name,file_key,repeats,solved_repeats,stable_solved,time_mean,time_min,time_max,results
march,3sat_126.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
march,3sat_127.cnf,1,1,True,1.873475137166679,1.873475137166679,1.873475137166679,SATISFIABLE
march,3sat_128.cnf,1,1,True,0.150360831990838,0.150360831990838,0.150360831990838,SATISFIABLE
march,3sat_129.cnf,1,1,True,2.42562446789816,2.42562446789816,2.42562446789816,SATISFIABLE
march,3sat_13.cnf,1,1,True,7.291192324832082,7.291192324832082,7.291192324832082,SATISFIABLE
march,3sat_130.cnf,1,1,True,2.8059143340215087,2.8059143340215087,2.8059143340215087,SATISFIABLE
march,3sat_131.cnf,1,1,True,1.5735578779131174,1.5735578779131174,1.5735578779131174,SATISFIABLE
march,3sat_132.cnf,1,1,True,32.34795904532075,32.34795904532075,32.34795904532075,SATISFIABLE
march,3sat_133.cnf,1,1,True,38.97826188802719,38.97826188802719,38.97826188802719,SATISFIABLE
march,3sat_134.cnf,1,1,True,32.32778701093048,32.32778701093048,32.32778701093048,SATISFIABLE
march,3sat_135.cnf,1,1,True,20.581872048787773,20.581872048787773,20.581872048787773,UNSATISFIABLE
march,3sat_136.cnf,1,1,True,35.738671916071326,35.738671916071326,35.738671916071326,UNSATISFIABLE
march,3sat_137.cnf,1,1,True,21.969502784777436,21.969502784777436,21.969502784777436,UNSATISFIABLE
march,3sat_138.cnf,1,1,True,28.938818748109043,28.938818748109043,28.938818748109043,SATISFIABLE
march,3sat_139.cnf,1,1,True,33.19372256519273,33.19372256519273,33.19372256519273,UNSATISFIABLE
march,3sat_14.cnf,1,1,True,0.466045618057251,0.466045618057251,0.466045618057251,SATISFIABLE
march,3sat_140.cnf,1,1,True,8.050108323339373,8.050108323339373,8.050108323339373,SATISFIABLE
march,3sat_141.cnf,1,1,True,6.637046151328832,6.637046151328832,6.637046151328832,SATISFIABLE
march,3sat_142.cnf,1,1,True,9.130680109839886,9.130680109839886,9.130680109839886,SATISFIABLE
march,3sat_143.cnf,1,1,True,21.96373470313847,21.96373470313847,21.96373470313847,UNSATISFIABLE
march,3sat_144.cnf,1,1,True,25.06500693364069,25.06500693364069,25.06500693364069,UNSATISFIABLE
march,3sat_145.cnf,1,1,True,52.73957147775218,52.73957147775218,52.73957147775218,UNSATISFIABLE
march,3sat_146.cnf,1,1,True,27.88842088915408,27.88842088915408,27.88842088915408,UNSATISFIABLE
march,3sat_147.cnf,1,1,True,35.587177332956344,35.587177332956344,35.587177332956344,SATISFIABLE
march,3sat_148.cnf,1,1,True,13.492996965069324,13.492996965069324,13.492996965069324,SATISFIABLE
march,3sat_149.cnf,1,1,True,2.5412533641792834,2.5412533641792834,2.5412533641792834,SATISFIABLE
march,3sat_15.cnf,1,1,True,36.27413242915645,36.27413242915645,36.27413242915645,UNSATISFIABLE
march,3sat_150.cnf,1,1,True,0.0386022422462701,0.0386022422462701,0.0386022422462701,SATISFIABLE
march,3sat_151.cnf,1,1,True,34.660196896176785,34.660196896176785,34.660196896176785,UNSATISFIABLE
march,3sat_152.cnf,1,1,True,44.75573379825801,44.75573379825801,44.75573379825801,UNSATISFIABLE
march,3sat_153.cnf,1,1,True,33.06951682874933,33.06951682874933,33.06951682874933,UNSATISFIABLE
march,3sat_154.cnf,1,1,True,0.1115315658971667,0.1115315658971667,0.1115315658971667,SATISFIABLE
march,3sat_155.cnf,1,1,True,47.54702945798636,47.54702945798636,47.54702945798636,UNSATISFIABLE
march,3sat_156.cnf,1,1,True,43.52767970599234,43.52767970599234,43.52767970599234,UNSATISFIABLE
march,3sat_157.cnf,1,1,True,3.91174433613196,3.91174433613196,3.91174433613196,SATISFIABLE
march,3sat_158.cnf,1,1,True,37.53004772169516,37.53004772169516,37.53004772169516,UNSATISFIABLE
march,3sat_159.cnf,1,1,True,37.47888016095385,37.47888016095385,37.47888016095385,UNSATISFIABLE
march,3sat_16.cnf,1,1,True,47.36613616393879,47.36613616393879,47.36613616393879,UNSATISFIABLE
march,3sat_160.cnf,1,1,True,61.29983125580475,61.29983125580475,61.29983125580475,UNSATISFIABLE
march,3sat_161.cnf,1,1,True,24.61509748082608,24.61509748082608,24.61509748082608,SATISFIABLE
march,3sat_162.cnf,1,1,True,30.827810109127316,30.827810109127316,30.827810109127316,UNSATISFIABLE
march,3sat_163.cnf,1,1,True,25.65854778001085,25.65854778001085,25.65854778001085,SATISFIABLE
march,3sat_164.cnf,1,1,True,12.271783330012113,12.271783330012113,12.271783330012113,SATISFIABLE
march,3sat_165.cnf,1,1,True,1.608743116259575,1.608743116259575,1.608743116259575,SATISFIABLE
march,3sat_166.cnf,1,1,True,38.49560429528356,38.49560429528356,38.49560429528356,UNSATISFIABLE
